,397,759,1056,1679,1879,2025,2027,2185,2214,2215,2751
Array.129,-1,0,-1,0,0,1,1,2,-1,-1,0
Array.34,-1,0,0,1,0,0,0,0,0,0,0
Array.67,0,0,1,0,-1,-1,-1,-1,0,0,0
Array.24,0,0,0,0,-1,0,0,0,1,1,0
Array.22,1,1,0,0,0,-1,-1,0,0,0,0
Array.36,0,0,-1,0,0,0,0,-1,-1,-1,-1
Array.49,0,0,-1,0,0,-1,-1,2,-1,-1,-1
Array.16,0,0,1,0,0,-1,-1,2,-1,-1,1
Array.146,-1,0,0,0,0,0,0,0,0,0,0
Array.143,-1,0,-1,0,0,-1,-1,2,-1,-1,1
Array.65,0,0,0,0,0,-1,-1,0,0,0,-1
Array.62,0,1,1,0,0,1,1,0,1,1,1
Array.4,-1,0,0,0,0,1,1,2,-1,-1,0
Array.76,-1,0,-1,0,0,0,0,2,-1,-1,-1
Array.118,0,0,-1,0,0,0,0,0,0,0,1
Array.154,0,1,0,1,0,0,0,0,1,1,1
Array.48,-1,0,-1,1,0,0,0,1,1,0,-1
Array.6,0,0,0,0,0,0,0,2,-1,-1,0
Array.39,0,0,0,0,0,-1,-1,0,0,0,0
Array.86,0,0,-1,0,0,-1,-1,-1,0,0,-1
Array.112,-1,1,0,0,0,0,0,-1,-1,-1,1
Array.79,0,0,-1,0,-1,-1,-1,2,-1,-1,-1
Array.124,0,0,-1,1,0,1,1,0,0,0,0
Array.19,0,0,-1,-1,0,1,1,2,-1,-1,0
Array.27,0,0,0,0,0,-1,-1,0,0,0,0
Array.106,1,1,-1,1,0,-1,-1,2,-1,-1,0
Array.110,0,0,-1,0,0,0,0,2,-1,-1,0
Array.69,0,0,-1,0,0,1,1,1,1,1,-1
Array.73,0,0,0,0,0,0,0,2,0,0,0
Array.95,0,0,0,1,0,0,0,0,0,0,0
Array.98,1,1,1,1,0,-1,-1,0,0,0,-1
Array.17,-1,0,0,0,0,0,-1,2,0,0,0
Array.33,0,0,-1,0,0,0,0,-1,-1,-1,-1
Array.138,0,1,0,1,0,0,0,2,-1,-1,0
Array.149,-1,-1,-1,0,0,-1,-1,1,1,1,-1
Array.101,1,1,0,1,0,0,0,0,0,0,0
Array.90,0,0,-1,-1,0,0,0,-1,-1,-1,0
Array.99,-1,0,0,0,0,1,1,0,0,0,0
Array.57,1,1,0,0,-1,0,0,0,0,0,0
Array.105,0,0,-1,0,0,0,0,2,0,0,0
Array.85,0,0,0,0,-1,-1,-1,0,-1,-1,0
Array.114,-1,0,-1,0,-1,0,0,-1,-1,-1,-1
Array.56,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1
Array.5,-1,1,-1,0,-1,0,0,-1,0,0,0
Array.8,0,0,-1,1,-1,0,0,0,0,0,0
Array.113,0,-1,-1,0,-1,0,0,0,0,0,-1
Array.148,-1,-1,-1,0,0,0,0,2,-1,-1,0
Array.42,0,0,-1,0,0,1,1,2,-1,-1,-1
Array.25,-1,0,-1,-1,-1,-1,-1,1,1,1,1
Array.102,-1,1,0,0,0,0,0,0,0,0,0
Array.55,-1,-1,-1,0,0,0,0,2,-1,-1,-1
Array.141,0,0,0,0,0,-1,-1,0,0,0,0
Array.43,0,-1,2,0,0,-1,-1,0,0,0,0
Array.159,-1,0,-1,-1,0,0,0,-1,-1,-1,0
Array.52,0,0,-1,0,0,-1,-1,-1,-1,-1,0
Array.88,-1,0,0,-1,-1,0,0,1,0,0,0
Array.125,0,0,0,0,0,0,0,2,0,0,0
Array.152,-1,0,-1,1,0,-1,-1,2,-1,-1,0
Array.50,0,1,0,0,0,1,1,0,0,0,1
Array.23,0,0,0,1,0,0,0,1,1,1,0
Array.68,0,0,-1,0,0,-1,-1,2,0,0,0
Array.94,0,0,0,1,0,0,0,0,0,0,1
Array.153,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0
Array.51,1,1,0,0,1,0,0,2,1,1,1
Array.142,1,1,0,1,0,1,1,1,1,1,-1
Array.144,0,0,1,0,0,0,0,2,-1,-1,0
Array.37,0,0,0,0,0,0,0,0,0,0,-1
Array.78,0,0,-1,0,0,0,0,2,-1,-1,-1
Array.18,-1,0,-1,1,0,0,0,2,-1,-1,0
Array.82,0,0,0,1,0,0,0,0,-1,-1,0
Array.75,-1,0,-1,0,-1,0,0,2,-1,-1,0
Array.139,0,0,-1,0,0,-1,-1,2,-1,-1,0
Array.2,-1,-1,0,0,0,0,0,1,0,0,-1
Array.117,0,0,0,0,0,-1,-1,0,0,0,0
Array.60,0,0,0,0,0,-1,-1,0,0,0,0
Array.38,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1
Array.72,0,0,-1,0,0,0,0,2,0,0,0
Array.104,0,0,0,0,0,0,0,0,0,0,0
Array.137,-1,0,0,0,0,-1,-1,0,0,0,-1
Array.145,-1,0,-1,-1,-1,-1,-1,0,0,0,-1
Array.31,1,1,2,0,0,1,1,0,0,0,1
Array.135,0,1,1,0,0,1,0,0,0,0,1
Array.111,1,1,-1,0,0,0,1,0,0,0,1
Array.7,0,0,-1,0,0,0,0,-1,-1,-1,-1
Array.21,-1,1,-1,0,1,0,0,2,0,0,1
Array.53,0,-1,0,0,-1,-1,-1,2,-1,-1,0
Array.59,0,-1,2,0,-1,0,0,0,0,0,-1
Array.71,-1,0,0,0,0,1,1,0,0,0,0
Array.47,-1,0,0,0,0,0,0,0,0,0,1
Array.107,0,1,-1,-1,-1,0,1,-1,0,0,-1
Array.64,0,0,0,-1,0,0,0,0,0,0,0
Array.89,0,0,0,0,0,0,0,0,0,0,0
Array.30,0,0,1,0,0,1,1,0,0,0,1
Array.35,0,0,0,0,0,-1,-1,0,0,0,-1
Array.93,-1,1,-1,0,0,0,0,0,0,0,0
Array.10,0,0,-1,0,0,0,0,2,-1,0,-1
Array.123,-1,0,0,1,0,-1,-1,0,0,0,0
Array.100,0,0,0,0,0,0,0,0,0,0,0
Array.134,1,1,-1,1,0,-1,-1,1,1,1,-1
Array.130,0,0,0,0,0,0,1,2,-1,-1,0
